wkt_geom,SR_Pcode,St_Rgn,D_Pcode,District,TS_Pcode,Township,VT_Pcode,VT,Vill_Pcode,Village,Vill_MMR4,AltVlg_Eng,AltVlg_Mya,Longitude,Latitude,Source,PCode_V
Point (95.53251647949220171 22.3720893859862997),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014016,Aung Thar,173397,Aung Thar,အောင်သာ,,,95.53251648,22.37208939,GAD,9.3
Point (95.51728820800779829 22.39874076843259942),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014033,Baung Kya,173439,Baung Kya (North),ဘောင်းကျ (မြောက်),,,95.51728821,22.39874077,GAD,9.3
Point (95.51532745361329546 22.39150047302250002),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014033,Baung Kya,173440,Baung Kya (South),ဘောင်းကျ (တောင်),,,95.51532745,22.39150047,GAD,9.3
Point (95.32840728759769888 22.39742088317870028),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014013,Chin Pin,173381,Chin Pin,ခြင်ပင်,,,95.32840729,22.39742088,GAD,9.3
Point (95.29606628417970171 22.4094905853270987),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014013,Chin Pin,173383,Htein Pin Kar,ထိန်ပင်ကား,,,95.29606628,22.40949059,GAD,9.3
Point (95.30359649658200283 22.37911033630370028),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014013,Chin Pin,173382,Than Pu Yar Kyin,သံပုရာကြင်း,,,95.3035965,22.37911034,GAD,9.3
Point (95.55976104736329546 22.30936050415040128),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014023,Don Dit,173410,Don Dit,ဒုံဒစ်,,,95.55976105,22.3093605,GAD,9.3
Point (95.57586669921880684 22.3148193359375),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014023,Don Dit,173411,Shwe Pauk Pin,ရွှေပေါက်ပင်,,,95.5758667,22.31481934,GAD,9.3
Point (95.52372741699220171 22.302049636840799),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014023,Don Dit,173412,Zee Pin Waing,ဇီးပင်ဝိုင်း,,,95.52372742,22.30204964,GAD,9.3
Point (95.3408203125 22.33362960815430043),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014010,Hmaw Taw,173367,Baw Kone,ဘော်ကုန်း,,,95.34082031,22.33362961,GAD,9.3
Point (95.33351135253910513 22.32608032226560013),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014010,Hmaw Taw,173366,Chan Thar Kone,ချမ်းသာကုန်း,,,95.33351135,22.32608032,GAD,9.3
Point (95.3450927734375 22.32719039916990056),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014010,Hmaw Taw,173364,Hmaw Taw,မှော်တော,,,95.34509277,22.3271904,GAD,9.3
Point (95.38153839111329546 22.31854057312009942),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014010,Hmaw Taw,173369,Kan Thone Sint,ကန်သုံးဆင့်,,,95.38153839,22.31854057,GAD,9.3
Point (95.34066772460940342 22.31851959228519888),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014010,Hmaw Taw,173368,Shwe Kone,ရွှေကုန်း,,,95.34066772,22.31851959,GAD,9.3
Point (95.36266326904299717 22.32612037658689985),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014010,Hmaw Taw,173365,Ywar Thar,ရွာသာ,,,95.36266327,22.32612038,GAD,9.3
Point (95.33701324462890625 22.46529960632319955),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014012,Hnget Pyaw Chan,173379,Aing Hlyar,အိုင်လျှား,,,95.33701324,22.46529961,GAD,9.3
Point (95.35140991210940342 22.48695945739750002),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014012,Hnget Pyaw Chan,173378,Hman Thar,မှန်သာ,,,95.35140991,22.48695946,GAD,9.3
Point (95.33838653564450283 22.48323059082029829),MMR005,Sagaing,MMR005D003,Monywa,MMR005014,Ayadaw,MMR005014012,Hnget Pyaw Chan,173374,Hnget Pyaw Chan,ငှက်ပျောခြံ,,,95.33838654,22.48323059,GAD,9.3
